[PB Info 2026-Jun-01 16:49:34] ------------------------------------------------------------------------------
[PB Info 2026-Jun-01 16:49:34] ||                 Parabricks accelerated Genomics Pipeline                 ||
[PB Info 2026-Jun-01 16:49:34] ||                              Version 4.7.0-1                             ||
[PB Info 2026-Jun-01 16:49:34] ||                                deepvariant                               ||
[PB Info 2026-Jun-01 16:49:34] ------------------------------------------------------------------------------
[PB Info 2026-Jun-01 16:49:34] Starting DeepVariant
[PB Info 2026-Jun-01 16:49:34] Running with 2 GPU devices, each with 4 group instances and 12 workers
[PB Info 2026-Jun-01 16:49:40] ProgressMeter -	Current-Locus	Elapsed-Minutes
[PB Info 2026-Jun-01 16:49:46] ProgressMeter -	chr1:93000	0.1
[PB Info 2026-Jun-01 16:49:52] ProgressMeter -	chr1:10454000	0.2
[PB Info 2026-Jun-01 16:49:58] ProgressMeter -	chr1:28866000	0.3
[PB Info 2026-Jun-01 16:50:04] ProgressMeter -	chr1:47089000	0.4
[PB Info 2026-Jun-01 16:50:10] ProgressMeter -	chr1:65250000	0.5
[PB Info 2026-Jun-01 16:50:16] ProgressMeter -	chr1:82050000	0.6
[PB Info 2026-Jun-01 16:50:22] ProgressMeter -	chr1:98692000	0.7
[PB Info 2026-Jun-01 16:50:28] ProgressMeter -	chr1:109562000	0.8
[PB Info 2026-Jun-01 16:50:34] ProgressMeter -	chr1:119162000	0.9
[PB Info 2026-Jun-01 16:50:40] ProgressMeter -	chr1:159431000	1.0
[PB Info 2026-Jun-01 16:50:46] ProgressMeter -	chr1:176093000	1.1
[PB Info 2026-Jun-01 16:50:52] ProgressMeter -	chr1:191133000	1.2
[PB Info 2026-Jun-01 16:50:58] ProgressMeter -	chr1:208461000	1.3
[PB Info 2026-Jun-01 16:51:04] ProgressMeter -	chr1:225311000	1.4
[PB Info 2026-Jun-01 16:51:10] ProgressMeter -	chr1:241078000	1.5
[PB Info 2026-Jun-01 16:51:16] ProgressMeter -	chr2:8047000	1.6
[PB Info 2026-Jun-01 16:51:22] ProgressMeter -	chr2:28051000	1.7
[PB Info 2026-Jun-01 16:51:28] ProgressMeter -	chr2:43994000	1.8
[PB Info 2026-Jun-01 16:51:34] ProgressMeter -	chr2:61754000	1.9
[PB Info 2026-Jun-01 16:51:40] ProgressMeter -	chr2:79049000	2.0
[PB Info 2026-Jun-01 16:51:46] ProgressMeter -	chr2:100492000	2.1
[PB Info 2026-Jun-01 16:51:52] ProgressMeter -	chr2:116150000	2.2
[PB Info 2026-Jun-01 16:51:58] ProgressMeter -	chr2:137806000	2.3
[PB Info 2026-Jun-01 16:52:04] ProgressMeter -	chr2:155322000	2.4
[PB Info 2026-Jun-01 16:52:10] ProgressMeter -	chr2:172686000	2.5
[PB Info 2026-Jun-01 16:52:16] ProgressMeter -	chr2:189647000	2.6
[PB Info 2026-Jun-01 16:52:22] ProgressMeter -	chr2:206447000	2.7
[PB Info 2026-Jun-01 16:52:28] ProgressMeter -	chr2:222127000	2.8
[PB Info 2026-Jun-01 16:52:34] ProgressMeter -	chr2:237012000	2.9
[PB Info 2026-Jun-01 16:52:40] ProgressMeter -	chr3:8712000	3.0
[PB Info 2026-Jun-01 16:52:46] ProgressMeter -	chr3:26686000	3.1
[PB Info 2026-Jun-01 16:52:52] ProgressMeter -	chr3:43332000	3.2
[PB Info 2026-Jun-01 16:52:58] ProgressMeter -	chr3:60292000	3.3
[PB Info 2026-Jun-01 16:53:05] ProgressMeter -	chr3:75019000	3.4
[PB Info 2026-Jun-01 16:53:11] ProgressMeter -	chr3:89741000	3.5
[PB Info 2026-Jun-01 16:53:17] ProgressMeter -	chr3:108499000	3.6
[PB Info 2026-Jun-01 16:53:23] ProgressMeter -	chr3:125300000	3.7
[PB Info 2026-Jun-01 16:53:29] ProgressMeter -	chr3:142306000	3.8
[PB Info 2026-Jun-01 16:53:35] ProgressMeter -	chr3:161974000	3.9
[PB Info 2026-Jun-01 16:53:41] ProgressMeter -	chr3:182668000	4.0
[PB Info 2026-Jun-01 16:53:47] ProgressMeter -	chr3:195992000	4.1
[PB Info 2026-Jun-01 16:53:53] ProgressMeter -	chr4:13562000	4.2
[PB Info 2026-Jun-01 16:53:59] ProgressMeter -	chr4:28949000	4.3
[PB Info 2026-Jun-01 16:54:05] ProgressMeter -	chr4:43381000	4.4
[PB Info 2026-Jun-01 16:54:11] ProgressMeter -	chr4:51658000	4.5
[PB Info 2026-Jun-01 16:54:17] ProgressMeter -	chr4:69454000	4.6
[PB Info 2026-Jun-01 16:54:23] ProgressMeter -	chr4:86094000	4.7
[PB Info 2026-Jun-01 16:54:29] ProgressMeter -	chr4:108185000	4.8
[PB Info 2026-Jun-01 16:54:35] ProgressMeter -	chr4:123460000	4.9
[PB Info 2026-Jun-01 16:54:41] ProgressMeter -	chr4:139793000	5.0
[PB Info 2026-Jun-01 16:54:47] ProgressMeter -	chr4:157678000	5.1
[PB Info 2026-Jun-01 16:54:53] ProgressMeter -	chr4:174011000	5.2
[PB Info 2026-Jun-01 16:54:59] ProgressMeter -	chr4:185852000	5.3
[PB Info 2026-Jun-01 16:55:05] ProgressMeter -	chr5:11978000	5.4
[PB Info 2026-Jun-01 16:55:11] ProgressMeter -	chr5:27069000	5.5
[PB Info 2026-Jun-01 16:55:17] ProgressMeter -	chr5:42658000	5.6
[PB Info 2026-Jun-01 16:55:23] ProgressMeter -	chr5:60831000	5.7
[PB Info 2026-Jun-01 16:55:29] ProgressMeter -	chr5:78196000	5.8
[PB Info 2026-Jun-01 16:55:35] ProgressMeter -	chr5:100683000	5.9
[PB Info 2026-Jun-01 16:55:41] ProgressMeter -	chr5:116846000	6.0
[PB Info 2026-Jun-01 16:55:47] ProgressMeter -	chr5:135785000	6.1
[PB Info 2026-Jun-01 16:55:53] ProgressMeter -	chr5:151945000	6.2
[PB Info 2026-Jun-01 16:55:59] ProgressMeter -	chr5:168896000	6.3
[PB Info 2026-Jun-01 16:56:05] ProgressMeter -	chr6:2599000	6.4
[PB Info 2026-Jun-01 16:56:11] ProgressMeter -	chr6:18199000	6.5
[PB Info 2026-Jun-01 16:56:17] ProgressMeter -	chr6:36163000	6.6
[PB Info 2026-Jun-01 16:56:23] ProgressMeter -	chr6:53123000	6.7
[PB Info 2026-Jun-01 16:56:29] ProgressMeter -	chr6:70406000	6.8
[PB Info 2026-Jun-01 16:56:35] ProgressMeter -	chr6:86463000	6.9
[PB Info 2026-Jun-01 16:56:41] ProgressMeter -	chr6:104914000	7.0
[PB Info 2026-Jun-01 16:56:47] ProgressMeter -	chr6:121714000	7.1
[PB Info 2026-Jun-01 16:56:53] ProgressMeter -	chr6:140773000	7.2
[PB Info 2026-Jun-01 16:56:59] ProgressMeter -	chr6:156454000	7.3
[PB Info 2026-Jun-01 16:57:05] ProgressMeter -	chr6:169982000	7.4
[PB Info 2026-Jun-01 16:57:11] ProgressMeter -	chr7:13927000	7.5
[PB Info 2026-Jun-01 16:57:17] ProgressMeter -	chr7:28328000	7.6
[PB Info 2026-Jun-01 16:57:23] ProgressMeter -	chr7:45291000	7.7
[PB Info 2026-Jun-01 16:57:29] ProgressMeter -	chr7:59883000	7.8
[PB Info 2026-Jun-01 16:57:35] ProgressMeter -	chr7:74991000	7.9
[PB Info 2026-Jun-01 16:57:41] ProgressMeter -	chr7:91569000	8.0
[PB Info 2026-Jun-01 16:57:47] ProgressMeter -	chr7:108511000	8.1
[PB Info 2026-Jun-01 16:57:53] ProgressMeter -	chr7:128528000	8.2
[PB Info 2026-Jun-01 16:57:59] ProgressMeter -	chr7:143924000	8.3
[PB Info 2026-Jun-01 16:58:05] ProgressMeter -	chr8:215000	8.4
[PB Info 2026-Jun-01 16:58:11] ProgressMeter -	chr8:12882000	8.5
[PB Info 2026-Jun-01 16:58:17] ProgressMeter -	chr8:24882000	8.6
[PB Info 2026-Jun-01 16:58:23] ProgressMeter -	chr8:44648000	8.7
[PB Info 2026-Jun-01 16:58:29] ProgressMeter -	chr8:66030000	8.8
[PB Info 2026-Jun-01 16:58:35] ProgressMeter -	chr8:83795000	8.9
[PB Info 2026-Jun-01 16:58:41] ProgressMeter -	chr8:101358000	9.0
[PB Info 2026-Jun-01 16:58:47] ProgressMeter -	chr8:118318000	9.1
[PB Info 2026-Jun-01 16:58:53] ProgressMeter -	chr8:133013000	9.2
[PB Info 2026-Jun-01 16:58:59] ProgressMeter -	chr9:3948000	9.3
